vibration,current,speed,temperature,micro_stop,cause
4.924332808945975359e-01,5.390612346099747931e-01,4.734036090223464610e-01,5.800210026326867441e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.489493119928616660e-01,6.197501994575732587e-01,5.617241172335420973e-01,5.385196000046584830e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.035247425063713811e-01,3.123029195175515138e-01,5.230918527707908439e-01,5.096938352905450165e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.425196513050517755e-01,5.879134068002203062e-01,4.442829508485830470e-01,2.570871465345599405e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.957958267954293285e-01,4.050045509004431277e-01,5.498743321238875881e-01,3.977388775017505207e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.901661309030956315e-01,4.839010478554094385e-01,5.621258949710883357e-01,5.764196625058167767e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.304831286922859324e-01,1.984564445324419613e-01,4.185491422985991306e-01,5.632715001992280035e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.197205285585967394e-01,6.837379192940349348e-01,5.501513553896812958e-01,2.624032471943048561e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.189412798553125428e-01,5.102836022494116053e-01,5.439260689130408499e-01,5.633151455794490614e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.247422753216092195e-01,7.974330654875652069e-01,4.365484534185045118e-01,5.671054785381650643e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.941244131663870665e-01,7.203761171321924062e-01,4.931527779466216566e-01,3.809859811161374621e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.700889048276431836e-01,6.057589883757819038e-01,5.954499902561702918e-01,2.566743218678073091e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.049571108468850711e-01,3.242244817704164062e-01,4.925223068312064023e-01,7.295477235682255035e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.577422465084798775e-01,2.764810583259776355e-01,5.346741490332023172e-01,5.852207430640434804e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.269688296743048506e-01,5.199531906531482672e-01,4.762385361129657935e-01,3.692297113767394889e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.283748410381456817e-01,4.504493422604109454e-01,4.655021915741734961e-01,4.345133006354489624e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.944196555757749800e-01,3.123060757834411061e-01,5.405804724616811718e-01,4.426714706516486353e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.342196155558746273e-01,3.197837561206453572e-01,5.592661098714430956e-01,7.011521591117072516e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.958128106700571025e-01,2.996004511091352462e-01,5.338959313256603778e-01,2.507908984256694840e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.806653099161364073e-01,6.889333013243122972e-01,5.585025426270682214e-01,4.067780308839157311e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.371505106928107010e-01,7.611362175075531145e-01,5.771850094622387184e-01,4.067780308839157311e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.781759022831722938e-01,5.102540975816918234e-01,4.334102600861696741e-01,7.509699581624506015e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.617605737133974597e-01,5.638871734891257592e-01,5.616127752974464649e-01,5.290867419001058503e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.289150896250144007e-01,3.975131239329652288e-01,5.418264912920648380e-01,5.381901387108115609e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.455224866492883740e-01,4.021921656225170838e-01,4.921222362382063897e-01,5.381901387108115609e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.326843844294623098e-01,6.723370936919290664e-01,5.298246435797130394e-01,3.627401348504600276e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.648708591515154920e-01,7.247949137608389325e-01,6.101439017827740008e-01,3.180548350462930052e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.112397591266892860e-01,3.582665913791285295e-01,4.761646963107375452e-01,5.735978720351186944e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.253841775276973602e-01,4.809781404463898680e-01,5.337760420646492365e-01,4.629205337327125802e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.069160514309849708e-01,5.335096644042337521e-01,4.781546941313250532e-01,6.042888121292485648e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.638177095222149271e-01,4.701194619905080807e-01,6.044787372711204476e-01,5.433195612742369729e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.933825311687738413e-01,6.108282549648332838e-01,4.145741150506322970e-01,6.940696307935055875e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.933825311687738413e-01,4.137005387467456718e-01,5.516355966304152814e-01,4.600587406817683855e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.888660198823570835e-01,4.137005387467456718e-01,4.960103757018855530e-01,8.099980153189666465e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.618198534460782545e-01,5.493928863902750592e-01,4.713267706873189300e-01,5.908841542981321249e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.552315932383539931e-01,4.227418746315121933e-01,4.660260343335470568e-01,4.074406334321837297e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.343049593930633501e-01,5.988810023340904731e-01,5.397415046201035072e-01,2.695341393375300654e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.736316267509807609e-02,4.557337750699295142e-01,4.296642610968661180e-01,4.546826820431635330e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.766332364760330842e-01,7.238425528284073707e-01,5.187245352784938257e-01,6.809279625484568887e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.064417724563250123e-01,3.311633855687132200e-01,5.944687219952342616e-01,2.819801958959796129e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.960636301969914674e-01,4.726001705770453976e-01,4.497485166248342270e-01,7.093138359430788409e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.779626765994480442e-01,4.792731895428565814e-01,4.860033211114300200e-01,6.639937495708569948e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.147296284507722142e-01,1.414381661427394632e-01,4.860033211114300200e-01,5.294663902272765954e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.099373319511161684e-01,3.330138945855797283e-01,5.445599098031838059e-01,5.294663902272765954e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.056994577214794173e-01,3.676473703663875603e-01,3.959355888369086585e-01,5.294663902272765954e-01,0.000000000000000000e+00,0.000000000000000000e+00
