vibration,current,speed,temperature,micro_stop,cause
-9.455320596671229483e-03,5.109608483946052715e+00,9.833673672025844326e+01,7.055062312604479757e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.345559168561499375e-01,5.391938245923405759e+00,1.022306986928429637e+02,7.026169607551042873e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.219802976827130570e-01,4.316183741822411157e+00,1.005274411847106393e+02,7.006101507075273105e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.225477508189564135e-01,5.280541673789287849e+00,9.705283632337538791e+01,6.830240208647182953e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.836590186035942651e-03,4.640545686143760840e+00,1.017082536397647488e+02,6.928160007033608281e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.459214403198953042e-02,4.916603623535995560e+00,1.022484126673560496e+02,7.052555109197034255e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.299090979573406468e-01,3.917836232405040420e+00,9.591825870450809077e+01,7.043401539643642195e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.237110192110529250e-02,5.615830543278109488e+00,1.017204673156636971e+02,6.833941204726112062e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.759707406889065018e-01,5.008915878582044456e+00,1.014460007246142368e+02,7.043431924956374246e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.374918742721161213e-02,6.013648554990464135e+00,9.671183014621708196e+01,7.046070702571002187e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.475288837273209142e-01,5.744027177036684861e+00,9.920745762459679895e+01,6.916496871250014067e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.664938801173436456e-01,5.342983158917916420e+00,1.037176383595429456e+02,6.829952805798605198e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.076555464385062000e-01,4.357897151327747132e+00,9.917966079011335978e+01,7.159160756802131687e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.412094656742515442e-01,4.190843460621569427e+00,1.010380929247707229e+02,7.058682300294634615e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.843584694516078981e-01,5.042749657433988730e+00,9.846172579142098868e+01,6.908312318136147212e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.811727816271702207e-01,4.799556489566554340e+00,9.798837120814965829e+01,6.953761854051536773e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.846834176877741873e-01,4.316194785560536040e+00,1.012984967572904083e+02,6.959441459682375353e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.413536605779790456e-01,4.342359103243047969e+00,1.021223276316907942e+02,7.139392155822029906e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.549506089977983780e-01,4.271737950640845938e+00,1.010037820923158876e+02,6.825856847410361183e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.904575021642476162e-01,5.634009125377409610e+00,1.020886627233549291e+02,6.934452941153075756e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.184395519562299715e-01,5.886646300468048487e+00,1.029123538103249587e+02,nan,0.000000000000000000e+00,0.000000000000000000e+00
-4.949116546577270181e-01,5.008812642088302347e+00,9.657347037286173475e+01,7.174074621551812925e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.895239033781836779e-02,5.196474159170087148e+00,1.022257897393746049e+02,7.019602581624991444e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.533724565187126188e-01,4.614333269159684114e+00,1.013534324686094124e+02,7.025940241134804864e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.108322110202725197e-01,4.630705182332549796e+00,9.916202208187850431e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00
8.174412042414544444e-02,5.575939185337561277e+00,1.008242831290144181e+02,6.903794364317187160e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.190522222413292530e-02,5.759488495728136925e+00,1.043654780727870701e+02,6.872685073890596641e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.315569256105022067e-02,4.477010102165419170e+00,9.845847026914464095e+01,7.050590617526157189e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.613726647438120110e-01,4.906376404056492113e+00,1.009984962959277794e+02,6.973538578578653357e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.296641982740536658e-01,5.090183603508587673e+00,9.854620726246406548e+01,7.071957227418843672e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.008676592813538941e-01,4.868382012758647015e+00,1.041157066932557882e+02,7.029511274493552264e+01,0.000000000000000000e+00,0.000000000000000000e+00
